,p,rho,Estimator,Signal,AIC.MSE,BIC.MSE,LOOCV.MSE
0,10.0,0.0,LASSO,Sparse,0.0276267601754141,0.0276267601754141,0.0277027963681879
1,10.0,0.25,LASSO,Sparse,0.0379858436000058,0.0379858436000058,0.0381061615136787
2,10.0,0.5,LASSO,Sparse,0.0510294131306509,0.0510294131306509,0.0512028144944904
3,25.0,0.0,LASSO,Sparse,0.0428176252932606,0.0428176252932606,0.0431290462793649
4,25.0,0.25,LASSO,Sparse,0.0639144108199455,0.0639144108199455,0.0643885080382128
5,25.0,0.5,LASSO,Sparse,0.0974990617015348,0.0974990617015348,0.0987730417601944
6,50.0,0.0,LASSO,Sparse,0.0532661695476551,0.0532661695476551,0.0542319890754581
7,50.0,0.25,LASSO,Sparse,0.0828440369281545,0.0828440369281545,0.0852310576358471
8,50.0,0.5,LASSO,Sparse,0.136256706399367,0.136256706399367,0.1391592660461572
9,10.0,0.0,LASSO,Dense,0.0870018580150966,0.0870018580150966,0.086929693974755
10,10.0,0.25,LASSO,Dense,0.1168835090461173,0.1168835090461173,0.1167772764379458
11,10.0,0.5,LASSO,Dense,0.1667061110779433,0.1667061110779433,0.1665874552930756
12,25.0,0.0,LASSO,Dense,0.0791025936976777,0.0791025936976777,0.0793827888098316
13,25.0,0.25,LASSO,Dense,0.1099453971955123,0.1099453971955123,0.1099926985834789
14,25.0,0.5,LASSO,Dense,0.1592117980228856,0.1592117980228856,0.1593094436120152
15,50.0,0.0,LASSO,Dense,0.0713270366002431,0.0713270366002431,0.0748575747705665
16,50.0,0.25,LASSO,Dense,0.1009328333225943,0.1009328333225943,0.1028970793357514
17,50.0,0.5,LASSO,Dense,0.1469039725521501,0.1469039725521501,0.1482613276435459
0,10.0,0.0,Adaptive_Lasso,Sparse,0.0279218184389999,0.0288482039850983,0.0282007832451053
1,10.0,0.25,Adaptive_Lasso,Sparse,0.0385345184865773,0.0396611399853625,0.0388686756547881
2,10.0,0.5,Adaptive_Lasso,Sparse,0.0515762050292604,0.0530113342072292,0.0520309705472347
3,25.0,0.0,Adaptive_Lasso,Sparse,0.0438913909164756,0.0476467385739669,0.0453677745651762
4,25.0,0.25,Adaptive_Lasso,Sparse,0.0648378156634994,0.0697598720932725,0.0670871452119128
5,25.0,0.5,Adaptive_Lasso,Sparse,0.0996651950965375,0.105163039130709,0.102365093589046
6,50.0,0.0,Adaptive_Lasso,Sparse,0.0537900223202059,0.0654504690747556,0.0610298183021494
7,50.0,0.25,Adaptive_Lasso,Sparse,0.0864246083470016,0.100168346617852,0.0946489984903428
8,50.0,0.5,Adaptive_Lasso,Sparse,0.138376825589301,0.158457322639846,0.15045993479831
9,10.0,0.0,Adaptive_Lasso,Dense,0.087056051528733,0.0899590927985996,0.087138859518862
10,10.0,0.25,Adaptive_Lasso,Dense,0.117535055967792,0.121392667697386,0.117718863612095
11,10.0,0.5,Adaptive_Lasso,Dense,0.167234006568236,0.171987400103166,0.167627494054184
12,25.0,0.0,Adaptive_Lasso,Dense,0.0803410044153883,0.104152308664991,0.0839433081585739
13,25.0,0.25,Adaptive_Lasso,Dense,0.110497294371312,0.134088632466898,0.113869732013696
14,25.0,0.5,Adaptive_Lasso,Dense,0.160821424870857,0.182358771742462,0.163865660747103
15,50.0,0.0,Adaptive_Lasso,Dense,0.0662289753480191,0.11831191839795,0.081307845365185
16,50.0,0.25,Adaptive_Lasso,Dense,0.094664443385244,0.149718989298464,0.108515697635844
17,50.0,0.5,Adaptive_Lasso,Dense,0.141245024135515,0.196382086408706,0.153559746913951
0,10.0,0.0,Ridge,Sparse,0.026473577693344,0.0267996179128621,0.027932621447725
1,10.0,0.25,Ridge,Sparse,0.0367038061266544,0.0367491561622841,0.0376961084574278
2,10.0,0.5,Ridge,Sparse,0.0485760024779938,0.0490465623531982,0.0494804601776512
3,25.0,0.0,Ridge,Sparse,0.0372584450919659,0.0368576051330884,0.0390956797934136
4,25.0,0.25,Ridge,Sparse,0.0547592946371319,0.055953026735223,0.0563383591363909
5,25.0,0.5,Ridge,Sparse,0.082618664522626,0.0818707752260051,0.0844381459246602
6,50.0,0.0,Ridge,Sparse,0.0344659731602112,0.0343384227645239,0.0385997245297653
7,50.0,0.25,Ridge,Sparse,0.0526926514552164,0.0526611246195727,0.0571072378104542
8,50.0,0.5,Ridge,Sparse,0.0830606550105979,0.0834868455847888,0.0902668376898141
9,10.0,0.0,Ridge,Dense,0.0862963457238501,0.0856473882717202,0.0896488845811141
10,10.0,0.25,Ridge,Dense,0.117374086120346,0.1167094816676243,0.1203707334656788
11,10.0,0.5,Ridge,Dense,0.1655006815304308,0.16507508856695,0.1681263293543501
12,25.0,0.0,Ridge,Dense,0.0743816567604312,0.0738722465392481,0.0785219671976077
13,25.0,0.25,Ridge,Dense,0.1019325433540415,0.1013487105650762,0.1054752960489445
14,25.0,0.5,Ridge,Dense,0.1463027678236683,0.1464293085172771,0.1514283950107423
15,50.0,0.0,Ridge,Dense,0.0501021076728861,0.0497618559423242,0.0558367254650956
16,50.0,0.25,Ridge,Dense,0.0685449492396763,0.0683214701768683,0.0743306530388721
17,50.0,0.5,Ridge,Dense,0.0989138444331494,0.0992008245352875,0.108823686502854
0,10.0,0.0,Adaptive_Ridge,Sparse,0.0272143889324901,0.0272143889324901,0.0272268484063461
1,10.0,0.25,Adaptive_Ridge,Sparse,0.037418933532306,0.037418933532306,0.0375488426955867
2,10.0,0.5,Adaptive_Ridge,Sparse,0.0502489612572891,0.0502489612572891,0.0506567479437405
3,25.0,0.0,Adaptive_Ridge,Sparse,0.0382956009604218,0.0382956009604218,0.0398782475029756
4,25.0,0.25,Adaptive_Ridge,Sparse,0.0566959162762441,0.0567066441504077,0.0600683845075104
5,25.0,0.5,Adaptive_Ridge,Sparse,0.0883473778572452,0.0884532684789799,0.0942493147792129
6,50.0,0.0,Adaptive_Ridge,Sparse,0.0381417424930424,0.110648326324676,0.0457169353790294
7,50.0,0.25,Adaptive_Ridge,Sparse,0.0618049002659735,0.296279300903149,0.0752375350739346
8,50.0,0.5,Adaptive_Ridge,Sparse,0.104523502379741,0.579843604391052,0.126537022775831
9,10.0,0.0,Adaptive_Ridge,Dense,0.0907378945742878,0.0907378945742878,0.0907378945742878
10,10.0,0.25,Adaptive_Ridge,Dense,0.119663587845454,0.119663587845454,0.119702312121995
11,10.0,0.5,Adaptive_Ridge,Dense,0.168010285162831,0.168010285162831,0.169321473653918
12,25.0,0.0,Adaptive_Ridge,Dense,0.0807069098474924,0.0807069098474924,0.081301674148036
13,25.0,0.25,Adaptive_Ridge,Dense,0.107667665340177,0.107710497753587,0.111254626793692
14,25.0,0.5,Adaptive_Ridge,Dense,0.154899851720159,0.155100130733856,0.163434294746644
15,50.0,0.0,Adaptive_Ridge,Dense,0.0612535909173316,0.351416917569705,0.067009493522442
16,50.0,0.25,Adaptive_Ridge,Dense,0.082762095581177,0.465310451787724,0.0947003620898586
17,50.0,0.5,Adaptive_Ridge,Dense,0.124132553463116,0.719122023802221,0.144961083225568
